,potential_V,current_mA,j_mA/mm2,abs_j_mA/mm2,progress
188,-0.4926139,-0.0002892613,-1.89416764343618e-06,1.89416764343618e-06,0.31864406779661014
189,-0.4916057,-0.0002734068,-1.7903477376870912e-06,1.7903477376870912e-06,0.32033898305084746
190,-0.49056869999999997,-0.0002573254,-1.685042024336724e-06,1.685042024336724e-06,0.3220338983050847
191,-0.4895144,-0.00024138099999999998,-1.5806334270787986e-06,1.5806334270787986e-06,0.32372881355932204
192,-0.48845920000000004,-0.00022501240000000002,-1.4734470440806258e-06,1.4734470440806258e-06,0.3254237288135593
193,-0.4874895,-0.0002087626,-1.3670385982487455e-06,1.3670385982487455e-06,0.3271186440677966
194,-0.4864307,-0.0001922212,-1.258720670281419e-06,1.258720670281419e-06,0.3288135593220339
195,-0.4854344,-0.0001755269,-1.1494015083685857e-06,1.1494015083685857e-06,0.3305084745762712
196,-0.4843742999999999,-0.0001589981,-1.0411660888885934e-06,1.0411660888885934e-06,0.33220338983050846
198,-0.4823107,-0.0001187169,-7.77393003174115e-07,7.77393003174115e-07,0.33559322033898303
199,-0.4812791,-0.00011093020000000001,-7.264034128309046e-07,7.264034128309046e-07,0.33728813559322035
200,-0.48021620000000004,-9.934332000000001e-05,-6.505291317418761e-07,6.505291317418761e-07,0.3389830508474576
201,-0.47923459999999996,-8.72674e-05,-5.714524736174611e-07,5.714524736174611e-07,0.34067796610169493
202,-0.47820730000000006,-7.420968000000001e-05,-4.859467017736318e-07,4.859467017736318e-07,0.3423728813559322
203,-0.47718999999999995,-5.955156e-05,-3.899610423798423e-07,3.899610423798423e-07,0.3440677966101695
204,-0.47616980000000003,-4.6050379999999994e-05,-3.0155136467941124e-07,3.0155136467941124e-07,0.34576271186440677
205,-0.47517429999999994,-3.173421e-05,-2.0780489395577235e-07,2.0780489395577235e-07,0.34745762711864403
206,-0.47411210000000004,-1.552958e-05,-1.016922345026923e-07,1.016922345026923e-07,0.34915254237288135
207,-0.47311850000000005,-3.993421e-07,-2.6150089364939427e-09,2.6150089364939427e-09,0.3508474576271186
208,-0.47208900000000004,1.4632550000000001e-05,9.581821955084235e-08,9.581821955084235e-08,0.3525423728813559
209,-0.47103690000000004,2.8763540000000003e-05,1.8835207744237583e-07,1.8835207744237583e-07,0.3542372881355932
210,-0.4700236,4.3221890000000006e-05,2.83029584414361e-07,2.83029584414361e-07,0.3559322033898305
211,-0.46902849999999996,5.748007e-05,3.7639631964748363e-07,3.7639631964748363e-07,0.35762711864406777
212,-0.4679848,7.14519e-05,4.6788795128154917e-07,4.6788795128154917e-07,0.3593220338983051
213,-0.4669406,8.623938e-05,5.647206978119687e-07,5.647206978119687e-07,0.36101694915254234
214,-0.46600290000000005,0.0001018191,6.667412637079096e-07,6.667412637079096e-07,0.36271186440677966
215,-0.4649682,0.0001167478,7.644987601257356e-07,7.644987601257356e-07,0.3644067796610169
216,-0.46395870000000006,0.00013200360000000002,8.643982030679256e-07,8.643982030679256e-07,0.36610169491525424
217,-0.4629432,0.00014599950000000002,9.560474521059698e-07,9.560474521059698e-07,0.3677966101694915
218,-0.461926,0.0001599865,1.0476384213394684e-06,1.0476384213394684e-06,0.3694915254237288
219,-0.46089300000000005,0.0001748214,1.1447816879071407e-06,1.1447816879071407e-06,0.3711864406779661
220,-0.459859,0.0001898534,1.2432156229552534e-06,1.2432156229552534e-06,0.3728813559322034
221,-0.4588455,0.00020538470000000002,1.3449191205212962e-06,1.3449191205212962e-06,0.37457627118644066
222,-0.4578205,0.0002204709,1.4437079730307984e-06,1.4437079730307984e-06,0.376271186440678
224,-0.4556813,0.0002549397,1.6694197625722027e-06,1.6694197625722027e-06,0.37966101694915255
225,-0.4546732,0.000268414,1.757653422166321e-06,1.757653422166321e-06,0.3813559322033898
226,-0.4536692,0.000284676,1.8641417571684768e-06,1.8641417571684768e-06,0.38305084745762713
