,potential_V,current_A,j_A/mm2,abs_j_A/mm2,progress
360,-0.4834201,0.000367692,2.2901599564566385e-06,2.2901599564566385e-06,0.41714947856315177
361,-0.48354040000000004,0.0003665975,2.2833428919778306e-06,2.2833428919778306e-06,0.4183082271147161
362,-0.48361279999999995,0.000364856,2.272496005006754e-06,2.272496005006754e-06,0.4194669756662804
363,-0.4837014,0.0003635539,2.2643859093851407e-06,2.2643859093851407e-06,0.4206257242178447
364,-0.4838098,0.0003624583,2.257561993585249e-06,2.257561993585249e-06,0.42178447276940906
365,-0.48389719999999997,0.0003616407,2.2524695934775527e-06,2.2524695934775527e-06,0.42294322132097334
366,-0.48397390000000007,0.0003603497,2.244428633914153e-06,2.244428633914153e-06,0.4241019698725377
367,-0.4840481,0.0003586637,2.233927427234144e-06,2.233927427234144e-06,0.42526071842410196
368,-0.484184,0.0003575614,2.227061780660375e-06,2.227061780660375e-06,0.4264194669756663
369,-0.4842579000000001,0.0003561214,2.2180927785137486e-06,2.2180927785137486e-06,0.4275782155272306
370,-0.48432840000000005,0.00035480099999999997,2.209868701823188e-06,2.209868701823188e-06,0.4287369640787949
371,-0.48443590000000003,0.0003529658,2.1984382068652093e-06,2.1984382068652093e-06,0.4298957126303592
372,-0.4845063,0.00035078260000000005,2.184840203055129e-06,2.184840203055129e-06,0.43105446118192353
373,-0.4845992,0.0003488613,2.1728734365104663e-06,2.1728734365104663e-06,0.4322132097334878
374,-0.4846879,0.0003481486,2.168434403295257e-06,2.168434403295257e-06,0.43337195828505215
375,-0.4847777,0.00034562730000000004,2.1527305525228332e-06,2.1527305525228332e-06,0.43453070683661643
376,-0.48489609999999994,0.0003440089,2.1426503906658184e-06,2.1426503906658184e-06,0.43568945538818077
377,-0.48497460000000003,0.00034291970000000004,2.1358663370976895e-06,2.1358663370976895e-06,0.43684820393974505
378,-0.48505640000000005,0.00034099870000000004,2.123901439095141e-06,2.123901439095141e-06,0.4380069524913094
379,-0.48517899999999997,0.0003394776,2.1144273077303945e-06,2.1144273077303945e-06,0.43916570104287367
380,-0.4852827,0.0003376666,2.1031475418362687e-06,2.1031475418362687e-06,0.440324449594438
381,-0.4853519,0.0003355959,2.090250241318893e-06,2.090250241318893e-06,0.4414831981460023
382,-0.485439,0.00033345660000000003,2.0769256675048105e-06,2.0769256675048105e-06,0.4426419466975666
383,-0.48553379999999996,0.0003316271,2.0655306748469953e-06,2.0655306748469953e-06,0.4438006952491309
384,-0.48561859999999996,0.0003296911,2.053472349738752e-06,2.053472349738752e-06,0.44495944380069524
385,-0.4857103,0.0003278631,2.042086699791506e-06,2.042086699791506e-06,0.4461181923522596
386,-0.4858049,0.0003262559,2.0320762968400767e-06,2.0320762968400767e-06,0.44727694090382386
387,-0.48588990000000004,0.0003242955,2.019865996973238e-06,2.019865996973238e-06,0.4484356894553882
388,-0.4859872,0.0003223269,2.0076046236219534e-06,2.0076046236219534e-06,0.4495944380069525
389,-0.48604540000000007,0.0003202295,1.9945410228564427e-06,1.9945410228564427e-06,0.4507531865585168
390,-0.48617299999999997,0.0003180118,1.980728136703266e-06,1.980728136703266e-06,0.4519119351100811
391,-0.4862428,0.0003173019,1.9763065432144532e-06,1.9763065432144532e-06,0.45307068366164543
392,-0.48635290000000003,0.0003154709,1.9649022078460687e-06,1.9649022078460687e-06,0.4542294322132097
393,-0.4864071,0.0003136843,1.953774416710538e-06,1.953774416710538e-06,0.45538818076477405
394,-0.4865098,0.0003109793,1.936926395317048e-06,1.936926395317048e-06,0.45654692931633833
395,-0.4866067,0.0003091485,1.9255233056434056e-06,1.9255233056434056e-06,0.45770567786790267
396,-0.4866932,0.00030707040000000003,1.9125799144205547e-06,1.9125799144205547e-06,0.45886442641946695
397,-0.4868117,0.00030495639999999997,1.8994129209914091e-06,1.8994129209914091e-06,0.4600231749710313
398,-0.48688869999999995,0.000302851,1.886299492436195e-06,1.886299492436195e-06,0.46118192352259557
399,-0.486972,0.0003008074,1.8735709835564405e-06,1.8735709835564405e-06,0.4623406720741599
400,-0.4870561,0.00029890470000000003,1.8617200666228384e-06,1.8617200666228384e-06,0.4634994206257242
401,-0.48715340000000007,0.0002969943,1.8498211904416464e-06,1.8498211904416464e-06,0.4646581691772885
402,-0.4872076,0.0002951201,1.8381477850088628e-06,1.8381477850088628e-06,0.4658169177288528
403,-0.48732040000000004,0.0002932224,1.8263280104438255e-06,1.8263280104438255e-06,0.46697566628041715
404,-0.4874052,0.0002914898,1.8155365568887934e-06,1.8155365568887934e-06,0.4681344148319814
405,-0.4875090999999999,0.0002895925,1.803719273713241e-06,1.803719273713241e-06,0.46929316338354576
