,potential_V,current_A,j_A/mm2,abs_j_A/mm2,progress,renorm_potential_V
0,-0.9769431,-0.171317,-0.001035436694376376,0.001035436694376376,1.0,-0.9769431
1,-0.9758015999999998,-0.1700925,-0.001028035839631874,0.001028035839631874,0.9982578397212544,-0.9758015999999998
2,-0.9746327999999997,-0.1689598,-0.0010211898223439215,0.0010211898223439215,0.9965156794425087,-0.9746327999999997
3,-0.9734368,-0.1677766,-0.001014038584015057,0.001014038584015057,0.9947735191637631,-0.9734368
4,-0.9722845,-0.1665637,-0.0010067078394502495,0.0010067078394502495,0.9930313588850174,-0.9722845
5,-0.9711364,-0.1653808,-0.000999558414315687,0.000999558414315687,0.9912891986062717,-0.9711364
6,-0.9699612999999998,-0.16416670000000003,-0.00099222041697367,0.00099222041697367,0.9895470383275261,-0.9699612999999998
7,-0.9688096999999998,-0.1630166,-0.0009852692344161757,0.0009852692344161757,0.9878048780487805,-0.9688096999999998
8,-0.9676197999999998,-0.1618947,-0.0009784884921231116,0.0009784884921231116,0.9860627177700348,-0.9676197999999998
9,-0.9664636,-0.16061229999999999,-0.0009707376908782363,0.0009707376908782363,0.9843205574912892,-0.9664636
10,-0.9653143999999998,-0.1595184,-0.000964126180053401,0.000964126180053401,0.9825783972125436,-0.9653143999999998
11,-0.9641404,-0.15838970000000002,-0.0009573043386894816,0.0009573043386894816,0.980836236933798,-0.9641404
12,-0.9629759999999998,-0.1572183,-0.000950224419336513,0.000950224419336513,0.9790940766550522,-0.9629759999999998
13,-0.9617889,-0.156013,-0.0009429396090273678,0.0009429396090273678,0.9773519163763066,-0.9617889
14,-0.9606791999999997,-0.1548525,-0.0009359255690673884,0.0009359255690673884,0.975609756097561,-0.9606791999999997
15,-0.9594982999999999,-0.15375329999999998,-0.0009292820251432096,0.0009292820251432096,0.9738675958188153,-0.9594982999999999
16,-0.9583294,-0.1525841,-0.0009222154025484593,0.0009222154025484593,0.9721254355400697,-0.9583294
17,-0.9572163999999999,-0.151499,-0.0009156570787564959,0.0009156570787564959,0.9703832752613241,-0.9572163999999999
18,-0.956021,-0.1503384,-0.0009086424343984158,0.0009086424343984158,0.9686411149825784,-0.956021
19,-0.9549037999999999,-0.1492567,-0.0009021046601418799,0.0009021046601418799,0.9668989547038328,-0.9549037999999999
20,-0.9537321999999999,-0.14816849999999998,-0.000895527600008791,0.000895527600008791,0.9651567944250871,-0.9537321999999999
21,-0.9525522,-0.1470428,-0.0008887238905878961,0.0008887238905878961,0.9634146341463414,-0.9525522
22,-0.9513677999999999,-0.14593420000000001,-0.0008820235332422407,0.0008820235332422407,0.9616724738675958,-0.9513677999999999
23,-0.9502381999999998,-0.14490279999999997,-0.0008757897712304157,0.0008757897712304157,0.9599303135888502,-0.9502381999999998
24,-0.9490990999999998,-0.1437483,-0.0008688119951564855,0.0008688119951564855,0.9581881533101045,-0.9490990999999998
25,-0.9479079999999998,-0.1426419,-0.0008621249345690479,0.0008621249345690479,0.9564459930313589,-0.9479079999999998
26,-0.9467933,-0.1415718,-0.0008556572704922071,0.0008556572704922071,0.9547038327526133,-0.9467933
27,-0.9456069,-0.140517,-0.0008492820793247911,0.0008492820793247911,0.9529616724738676,-0.9456069
28,-0.9444851999999999,-0.1393926,-0.0008424862270792066,0.0008424862270792066,0.9512195121951219,-0.9444851999999999
29,-0.9433149999999999,-0.1383323,-0.0008360777940162456,0.0008360777940162456,0.9494773519163763,-0.9433149999999999
30,-0.9421781999999999,-0.13728420000000002,-0.0008297430975215846,0.0008297430975215846,0.9477351916376306,-0.9421781999999999
31,-0.9410367,-0.1361975,-0.0008231751033600079,0.0008231751033600079,0.945993031358885,-0.9410367
32,-0.9398936999999998,-0.13517179999999998,-0.0008169757920399296,0.0008169757920399296,0.9442508710801394,-0.9398936999999998
33,-0.9387226999999998,-0.1340865,-0.0008104162594517645,0.0008104162594517645,0.9425087108013938,-0.9387226999999998
34,-0.9375738999999998,-0.1330854,-0.0008043656300644872,0.0008043656300644872,0.9407665505226481,-0.9375738999999998
35,-0.9364174999999999,-0.1320306,-0.0007979904388970713,0.0007979904388970713,0.9390243902439024,-0.9364174999999999
36,-0.9352719,-0.1309421,-0.0007914115655696801,0.0007914115655696801,0.9372822299651568,-0.9352719
37,-0.9340984999999999,-0.1298994,-0.0007851095065724629,0.0007851095065724629,0.9355400696864111,-0.9340984999999999
38,-0.9329479999999999,-0.1288771,-0.0007789307447878123,0.0007789307447878123,0.9337979094076655,-0.9329479999999999
39,-0.9318408999999999,-0.1279197,-0.000773144237370592,0.000773144237370592,0.9320557491289199,-0.9318408999999999
40,-0.9306827999999998,-0.12681099999999998,-0.0007664432756268356,0.0007664432756268356,0.9303135888501742,-0.9306827999999998
41,-0.9295293999999998,-0.1258218,-0.0007604645696135557,0.0007604645696135557,0.9285714285714286,-0.9295293999999998
42,-0.9284113999999999,-0.124805,-0.0007543190497244501,0.0007543190497244501,0.926829268292683,-0.9284113999999999
43,-0.927246,-0.12372860000000001,-0.0007478133085672577,0.0007478133085672577,0.9250871080139372,-0.927246
44,-0.9260955999999998,-0.12277650000000001,-0.0007420588342493807,0.0007420588342493807,0.9233449477351916,-0.9260955999999998
45,-0.9249757999999999,-0.12179300000000001,-0.0007361145789278471,0.0007361145789278471,0.921602787456446,-0.9249757999999999
46,-0.9238365999999998,-0.1207896,-0.0007300500483842509,0.0007300500483842509,0.9198606271777003,-0.9238365999999998
47,-0.9226937999999998,-0.1197238,-0.0007236083734257451,0.0007236083734257451,0.9181184668989547,-0.9226937999999998
