,potential_V,current_A,j_A/mm2,abs_j_A/mm2,progress
266,-0.4476005,0.0010318410000000001,6.426794544428964e-06,6.426794544428964e-06,0.5047438330170778
267,-0.44800779999999996,0.001030756,6.4200366504504285e-06,6.4200366504504285e-06,0.5066413662239089
268,-0.44902040000000004,0.0010143069999999999,6.317584486346354e-06,6.317584486346354e-06,0.50853889943074
269,-0.45002529999999996,0.0009968627,6.208933122355796e-06,6.208933122355796e-06,0.5104364326375712
270,-0.4510373,0.0009785585,6.094925893819484e-06,6.094925893819484e-06,0.5123339658444023
271,-0.45204609999999995,0.0009594708,5.976038656129087e-06,5.976038656129087e-06,0.5142314990512334
272,-0.4530665,0.0009398691999999999,5.853950605797612e-06,5.853950605797612e-06,0.5161290322580645
273,-0.45406940000000007,0.0009199172,5.7296800982771254e-06,5.7296800982771254e-06,0.5180265654648957
274,-0.455075,0.0008995778999999999,5.602997302887618e-06,5.602997302887618e-06,0.5199240986717267
275,-0.4560741,0.0008789991,5.474822788043864e-06,5.474822788043864e-06,0.5218216318785579
276,-0.4570803,0.0008584474000000001,5.34681706483773e-06,5.34681706483773e-06,0.523719165085389
277,-0.4580832,0.0008378966000000001,5.218816947257938e-06,5.218816947257938e-06,0.5256166982922201
278,-0.4591054,0.0008172111,5.0899778542690125e-06,5.0899778542690125e-06,0.5275142314990512
279,-0.46009700000000003,0.0007967827,4.962740101871683e-06,4.962740101871683e-06,0.5294117647058824
280,-0.46110329999999994,0.0007765850999999999,4.836939881207299e-06,4.836939881207299e-06,0.5313092979127135
281,-0.4621268,0.0007563863,4.71113218637446e-06,4.71113218637446e-06,0.5332068311195446
282,-0.4631456,0.000735958,4.583895056824502e-06,4.583895056824502e-06,0.5351043643263758
283,-0.464154,0.0007162889999999999,4.461387207364776e-06,4.461387207364776e-06,0.5370018975332068
284,-0.4651523,0.0006965967,4.338734234467538e-06,4.338734234467538e-06,0.538899430740038
285,-0.4661241,0.0006771203999999999,4.217426611892295e-06,4.217426611892295e-06,0.540796963946869
286,-0.46709259999999997,0.0006577304,4.0966565065984776e-06,4.0966565065984776e-06,0.5426944971537002
287,-0.4680911,0.0006384748,3.976723508171679e-06,3.976723508171679e-06,0.5445920303605313
288,-0.4691072,0.000619353,3.857623879527671e-06,3.857623879527671e-06,0.5464895635673624
289,-0.4701153,0.0006005088,3.740253275186374e-06,3.740253275186374e-06,0.5483870967741935
290,-0.4711194,0.0005818612,3.62410718877704e-06,3.62410718877704e-06,0.5502846299810247
291,-0.47214209999999995,0.0005632809,3.5083802786485867e-06,3.5083802786485867e-06,0.5521821631878558
292,-0.47314570000000006,0.0005451008,3.3951460037000503e-06,3.3951460037000503e-06,0.5540796963946869
293,-0.47415640000000003,0.0005272717,3.2840979230247535e-06,3.2840979230247535e-06,0.5559772296015181
294,-0.4751635,0.0005097437,3.1749252357844224e-06,3.1749252357844224e-06,0.5578747628083491
295,-0.4761416,0.0004921487,3.0653352408053242e-06,3.0653352408053242e-06,0.5597722960151803
296,-0.4771444,0.0004749893,2.9584583689755807e-06,2.9584583689755807e-06,0.5616698292220114
297,-0.4781496,0.0004579597,2.852389953033776e-06,2.852389953033776e-06,0.5635673624288425
298,-0.47914209999999996,0.0004412932,2.7485830958971388e-06,2.7485830958971388e-06,0.5654648956356736
299,-0.4801684,0.0004247411,2.6454887761532607e-06,2.6454887761532607e-06,0.5673624288425048
300,-0.48117259999999995,0.00040812279999999997,2.5419821314495865e-06,2.5419821314495865e-06,0.5692599620493358
301,-0.4821676,0.0003920805,2.4420630876045633e-06,2.4420630876045633e-06,0.571157495256167
302,-0.4831973,0.0003762821,2.3436631684981247e-06,2.3436631684981247e-06,0.5730550284629982
303,-0.4842124,0.0003605927,2.2459421530263964e-06,2.2459421530263964e-06,0.5749525616698292
304,-0.4852142,0.0003449022,2.1482142862335837e-06,2.1482142862335837e-06,0.5768500948766604
305,-0.4862193,0.0003295952,2.0528750391096815e-06,2.0528750391096815e-06,0.5787476280834914
306,-0.4871922000000001,0.0003140899,1.9563006856485046e-06,1.9563006856485046e-06,0.5806451612903226
307,-0.48820230000000003,0.0002988186,1.8611837950361544e-06,1.8611837950361544e-06,0.5825426944971537
308,-0.48920909999999995,0.000283686,1.7669307937277885e-06,1.7669307937277885e-06,0.5844402277039848
309,-0.49023130000000004,0.000268728,1.6737652839297007e-06,1.6737652839297007e-06,0.5863377609108159
310,-0.49121990000000004,0.0002539307,1.581600689857282e-06,1.581600689857282e-06,0.5882352941176471
311,-0.492246,0.00023919540000000002,1.4898222611550653e-06,1.4898222611550653e-06,0.5901328273244781
312,-0.49323999999999996,0.0002246103,1.3989793492045314e-06,1.3989793492045314e-06,0.5920303605313093
313,-0.4942425999999999,0.0002101296,1.3087866899096278e-06,1.3087866899096278e-06,0.5939278937381405
314,-0.495255,0.0001956433,1.218559151161932e-06,1.218559151161932e-06,0.5958254269449715
315,-0.4962736,0.0001810905,1.1279174189123257e-06,1.1279174189123257e-06,0.5977229601518027
316,-0.4972416,0.0001666995,1.0382834537094728e-06,1.0382834537094728e-06,0.5996204933586338
317,-0.4982527,0.0001522947,9.485635355693809e-07,9.485635355693809e-07,0.6015180265654649
318,-0.49925559999999997,0.0001380025,8.595449435693659e-07,8.595449435693659e-07,0.603415559772296
319,-0.5002633,0.0001237637,7.708589520656215e-07,7.708589520656215e-07,0.6053130929791272
320,-0.5012679,0.00010947370000000001,6.818540627077748e-07,6.818540627077748e-07,0.6072106261859582
321,-0.502282,9.517824e-05,5.928151658834555e-07,5.928151658834555e-07,0.6091081593927894
322,-0.5033059,8.085473e-05,5.036015603714883e-07,5.036015603714883e-07,0.6110056925996205
323,-0.5043091,6.657136e-05,4.146379657943583e-07,4.146379657943583e-07,0.6129032258064516
324,-0.5053233,5.221625e-05,3.2522754051306245e-07,3.2522754051306245e-07,0.6148007590132828
325,-0.5063404,3.791556e-05,2.3615606877122445e-07,2.3615606877122445e-07,0.6166982922201139
326,-0.5073062,2.3468899999999998e-05,1.4617542672150932e-07,1.4617542672150932e-07,0.618595825426945
327,-0.5082953,9.090326e-06,5.6618856533013084e-08,5.6618856533013084e-08,0.6204933586337761
328,-0.5092734999999999,-5.209207e-06,-3.2445408864739014e-08,3.2445408864739014e-08,0.6223908918406073
329,-0.510312,-1.978384e-05,-1.2322312738091964e-07,1.2322312738091964e-07,0.6242884250474383
330,-0.5113205,-3.4341679999999995e-05,-2.138962511380389e-07,2.138962511380389e-07,0.6261859582542695
331,-0.5123132,-4.897656e-05,-3.050492165100028e-07,3.050492165100028e-07,0.6280834914611005
332,-0.5133259,-6.366458999999999e-05,-3.965332252598091e-07,3.965332252598091e-07,0.6299810246679317
333,-0.514356,-7.857179e-05,-4.893823285932795e-07,4.893823285932795e-07,0.6318785578747628
334,-0.5153593,-9.358904e-05,-5.829168754588586e-07,5.829168754588586e-07,0.6337760910815939
335,-0.5163618,-0.0001086003,-6.76414113766897e-07,6.76414113766897e-07,0.6356736242884251
