,potential_V,current_A,j_A/mm2,abs_j_A/mm2,progress
410,-0.4667379,0.00039212919999999997,2.5677767564707565e-06,2.5677767564707565e-06,0.49101796407185627
411,-0.4668052,0.0003913727,2.562822973084388e-06,2.562822973084388e-06,0.49221556886227547
412,-0.46688450000000004,0.0003902632,2.5555576423941346e-06,2.5555576423941346e-06,0.4934131736526946
413,-0.466983,0.00038929199999999996,2.549197940576763e-06,2.549197940576763e-06,0.49461077844311374
414,-0.46708640000000007,0.0003881601,2.54178592813125e-06,2.54178592813125e-06,0.49580838323353293
415,-0.46719340000000004,0.0003867174,2.532338706331495e-06,2.532338706331495e-06,0.49700598802395207
416,-0.46725249999999996,0.0003850635,2.5215084851249976e-06,2.5215084851249976e-06,0.49820359281437127
417,-0.467355,0.0003826943,2.505994270189128e-06,2.505994270189128e-06,0.4994011976047904
418,-0.4674818,0.0003758739,2.461332295029326e-06,2.461332295029326e-06,0.5005988023952096
419,-0.46752849999999996,0.0003729094,2.4419198814815525e-06,2.4419198814815525e-06,0.5017964071856288
420,-0.4676315,0.0003715392,2.432947410898601e-06,2.432947410898601e-06,0.5029940119760479
421,-0.4677356,0.0003681323,2.4106380326844303e-06,2.4106380326844303e-06,0.5041916167664671
422,-0.4678343,0.0003649408,2.389739156706114e-06,2.389739156706114e-06,0.5053892215568863
423,-0.46787109999999993,0.0003615025,2.3672241621028723e-06,2.3672241621028723e-06,0.5065868263473053
424,-0.46800070000000005,0.0003606175,2.3614289231115487e-06,2.3614289231115487e-06,0.5077844311377245
425,-0.46807429999999994,0.00036027620000000005,2.359193990831618e-06,2.359193990831618e-06,0.5089820359281437
426,-0.4681647,0.0003611455,2.3648864216284063e-06,2.3648864216284063e-06,0.5101796407185629
427,-0.4682603,0.0003621901,2.371726768125962e-06,2.371726768125962e-06,0.511377245508982
428,-0.46835550000000004,0.00036280510000000004,2.375753968102984e-06,2.375753968102984e-06,0.5125748502994012
429,-0.4684316,0.0003622271,2.3719690549538477e-06,2.3719690549538477e-06,0.5137724550898204
430,-0.4685188,0.0003604772,2.360510197653376e-06,2.360510197653376e-06,0.5149700598802395
431,-0.4686101,0.0003574229,2.340509747426031e-06,2.340509747426031e-06,0.5161676646706587
432,-0.46871670000000004,0.00035481330000000004,2.3234213229381683e-06,2.3234213229381683e-06,0.5173652694610779
433,-0.4688308,0.0003529143,2.3109861152042426e-06,2.3109861152042426e-06,0.518562874251497
