,potential_V,current_mA,j_mA/mm2,abs_j_mA/mm2,progress
292,-0.4644906,0.00029571169999999996,1.9364067503171236e-06,1.9364067503171236e-06,0.5593869731800766
293,-0.4654899,0.0002804216,1.8362827009371907e-06,1.8362827009371907e-06,0.5613026819923371
294,-0.466448,0.0002652617,1.7370112392597105e-06,1.7370112392597105e-06,0.5632183908045977
295,-0.4674437,0.0002496478,1.6347668527211442e-06,1.6347668527211442e-06,0.5651340996168582
296,-0.4684424,0.0002343411,1.5345341016832954e-06,1.5345341016832954e-06,0.5670498084291188
297,-0.46947209999999995,0.0002193645,1.4364629420477468e-06,1.4364629420477468e-06,0.5689655172413792
298,-0.47049440000000003,0.0002041397,1.3367664961775693e-06,1.3367664961775693e-06,0.5708812260536398
299,-0.47145070000000006,0.0001889734,1.2374531254271574e-06,1.2374531254271574e-06,0.5727969348659003
300,-0.4725504,0.0001725956,1.1302064981366451e-06,1.1302064981366451e-06,0.5747126436781609
301,-0.47354579999999996,0.00015781889999999998,1.0334443422009446e-06,1.0334443422009446e-06,0.5766283524904214
302,-0.47453069999999997,0.00014135030000000001,9.256031299382153e-07,9.256031299382153e-07,0.578544061302682
303,-0.4755608,0.000127316,8.337024264625814e-07,8.337024264625814e-07,0.5804597701149425
304,-0.47653720000000005,0.0001126984,7.379821038867902e-07,7.379821038867902e-07,0.582375478927203
305,-0.4775173,9.821940999999999e-05,6.431694401546005e-07,6.431694401546005e-07,0.5842911877394635
306,-0.4785013,8.408238000000001e-05,5.50596030575488e-07,5.50596030575488e-07,0.5862068965517241
307,-0.47951679999999997,6.845316999999999e-05,4.4825138967651803e-07,4.4825138967651803e-07,0.5881226053639846
308,-0.4805394,5.4375540000000004e-05,3.56066948680552e-07,3.56066948680552e-07,0.5900383141762452
309,-0.48153029999999997,4.067889e-05,2.663772762166926e-07,2.663772762166926e-07,0.5919540229885057
310,-0.48253679999999993,2.689554e-05,1.761198667804629e-07,1.761198667804629e-07,0.5938697318007663
311,-0.48351170000000004,1.2527449999999998e-05,8.203340870266631e-08,8.203340870266631e-08,0.5957854406130267
312,-0.4844994000000001,-2.064593e-06,-1.3519559157982188e-08,1.3519559157982188e-08,0.5977011494252873
313,-0.48551239999999996,-1.64978e-05,-1.0803242240797994e-07,1.0803242240797994e-07,0.5996168582375478
314,-0.48652870000000004,-3.060115e-05,-2.0038528549079e-07,2.0038528549079e-07,0.6015325670498084
315,-0.4874884,-4.593924e-05,-3.0082358743478334e-07,3.0082358743478334e-07,0.603448275862069
316,-0.48849560000000003,-6.119909e-05,-4.0074955096218776e-07,4.0074955096218776e-07,0.6053639846743295
317,-0.4894978,-7.515646e-05,-4.921464942845984e-07,4.921464942845984e-07,0.60727969348659
318,-0.49048059999999993,-8.936713e-05,-5.852021201341304e-07,5.852021201341304e-07,0.6091954022988505
319,-0.49146590000000007,-0.0001033635,-6.76854446869718e-07,6.76854446869718e-07,0.611111111111111
320,-0.4924731,-0.00011880110000000001,-7.779443694148715e-07,7.779443694148715e-07,0.6130268199233716
321,-0.4934843,-0.0001335889,-8.747792113989375e-07,8.747792113989375e-07,0.6149425287356322
322,-0.49449269999999995,-0.0001486508,-9.734089403971527e-07,9.734089403971527e-07,0.6168582375478927
323,-0.4955090999999999,-0.0001637668,-1.0723929320274929e-06,1.0723929320274929e-06,0.6187739463601533
324,-0.4964976,-0.00017910459999999999,-1.1728293349666187e-06,1.1728293349666187e-06,0.6206896551724138
325,-0.49746009999999996,-0.0001949101,-1.276328374376075e-06,1.276328374376075e-06,0.6226053639846743
326,-0.498467,-0.00020952919999999998,-1.3720585193908345e-06,1.3720585193908345e-06,0.6245210727969348
327,-0.4994616,-0.00022506419999999999,-1.4737862456396657e-06,1.4737862456396657e-06,0.6264367816091954
328,-0.5004451,-0.0002405661,-1.575297223401929e-06,1.575297223401929e-06,0.6283524904214559
330,-0.5025725999999999,-0.0002745277,-1.7976877189135035e-06,1.7976877189135035e-06,0.632183908045977
