reaction,phi0,j0,a0,rho_lim,phi_pass,alpha_pass,rho_pass
hydrogen_reduction,-0.37283743600188646,-9.611907146979697e-08,-20.225877143586427,158.68958596384311,-0.4,0,0.0
iron_ox_passivation,-0.3926902369521076,7.890875638711049e-07,656.9555402697376,39047.114774774716,-0.3530488474425742,4.813717362888036,6966162.733014232
cr_breakdown_asc,0.9688035781660482,9.902293334214136e-07,62.2150274728915,1967.675914721402,1.2998495939055346,0.008971265067361258,56703441.06077022
h2o_breakdown_asc,1.5964732691809362,0.00010653479346276018,11.369523374162378,3.23003234903e-312,1.6,0,0.0
singularity_asc,0.15,-4.9999999999999995e-11,-70.0,200000.00000000003,-0.03,10,10000000.0
cr_deposition,1.070090845079314,-1.811753054738548e+169,-235333.42331824425,4502401.219145823,1,0,0.0
cr_breakdown_dec,0.9814485141880367,4.564520799537068e-07,40.30325049283154,1324.4888122584268,1.2388809910869365,0.007470080339974107,28683873.87419288
h2o_breakdown_dec,1.5989452873322927,0.00010156339435499769,11.681009029538584,3.7648492557673674e-06,1.6,0,0.0
