,potential_V,current_mA,j_mA/mm2,abs_j_mA/mm2,progress
371,-0.4648253,0.0007498615,4.9103125456413245e-06,4.9103125456413245e-06,0.6288135593220339
372,-0.4658052,0.0007021492999999999,4.597879097277663e-06,4.597879097277663e-06,0.6305084745762711
373,-0.4667715,0.0006565032000000001,4.298975076349001e-06,4.298975076349001e-06,0.6322033898305085
374,-0.46776670000000004,0.0006065132,3.971625926997273e-06,3.971625926997273e-06,0.6338983050847458
375,-0.4687919,0.0005631568,3.687715531739158e-06,3.687715531739158e-06,0.635593220338983
376,-0.46979840000000006,0.0005209447,3.4112983477553606e-06,3.4112983477553606e-06,0.6372881355932203
377,-0.470789,0.00047997510000000003,3.1430174173836765e-06,3.1430174173836765e-06,0.6389830508474577
378,-0.4717603,0.0004401627,2.882314171261438e-06,2.882314171261438e-06,0.6406779661016949
379,-0.4727746,0.00040045550000000004,2.6222998055255135e-06,2.6222998055255135e-06,0.6423728813559322
380,-0.47380020000000006,0.0003617303,2.3687158631675316e-06,2.3687158631675316e-06,0.6440677966101694
381,-0.4748027,0.0003241162,2.1224077287680364e-06,2.1224077287680364e-06,0.6457627118644068
382,-0.47581260000000003,0.0002873034,1.8813467412654308e-06,1.8813467412654308e-06,0.6474576271186441
383,-0.476836,0.0002508697,1.6427682115047585e-06,1.6427682115047585e-06,0.6491525423728813
384,-0.4778147,0.000215518,1.4112749343865861e-06,1.4112749343865861e-06,0.6508474576271186
385,-0.4788278,0.0001812116,1.1866265875708216e-06,1.1866265875708216e-06,0.6525423728813559
386,-0.47986,0.0001472434,9.641928733277864e-07,9.641928733277864e-07,0.6542372881355932
387,-0.480862,0.00011306700000000001,7.40395804555945e-07,7.40395804555945e-07,0.6559322033898305
388,-0.4818487,7.980266e-05,5.225711715744163e-07,5.225711715744163e-07,0.6576271186440678
389,-0.4828313,4.6215159999999995e-05,3.0263039234154724e-07,3.0263039234154724e-07,0.659322033898305
390,-0.4838952,1.3297929999999999e-05,8.707873722022018e-08,8.707873722022018e-08,0.6610169491525424
391,-0.48487079999999994,-1.9471860000000003e-05,-1.27507437633445e-07,1.27507437633445e-07,0.6627118644067796
392,-0.4858446,-5.196165e-05,-3.402600905463523e-07,3.402600905463523e-07,0.6644067796610169
393,-0.4868647,-8.437418e-05,-5.525068223694634e-07,5.525068223694634e-07,0.6661016949152542
394,-0.48783859999999996,-0.00011598549999999999,-7.595069966420223e-07,7.595069966420223e-07,0.6677966101694915
395,-0.48885429999999996,-0.0001476621,-9.66934643458484e-07,9.66934643458484e-07,0.6694915254237288
396,-0.48986430000000003,-0.00017948259999999997,-1.1753045895866417e-06,1.1753045895866417e-06,0.6711864406779661
397,-0.4908772,-0.0002107148,-1.379822175151415e-06,1.379822175151415e-06,0.6728813559322033
398,-0.49188770000000004,-0.0002418295,-1.583570336330334e-06,1.583570336330334e-06,0.6745762711864407
399,-0.49285829999999997,-0.00027322,-1.7891245166208999e-06,1.7891245166208999e-06,0.676271186440678
400,-0.4938909000000001,-0.0003037322,-1.988927331480867e-06,1.988927331480867e-06,0.6779661016949152
401,-0.4948813,-0.0003349128,-2.1931070251451287e-06,2.1931070251451287e-06,0.6796610169491525
402,-0.4958956,-0.0003656908,-2.394650376190287e-06,2.394650376190287e-06,0.6813559322033899
403,-0.4969192,-0.00039661910000000005,-2.597177935620073e-06,2.597177935620073e-06,0.6830508474576271
404,-0.4978999,-0.00042820120000000003,-2.8039867687815285e-06,2.8039867687815285e-06,0.6847457627118644
405,-0.49892159999999997,-0.0004597421,-3.010525812285987e-06,3.010525812285987e-06,0.6864406779661016
406,-0.4999269,-0.000491684,-3.219690721141317e-06,3.219690721141317e-06,0.688135593220339
407,-0.5009134,-0.0005253458,-3.440118038517751e-06,3.440118038517751e-06,0.6898305084745763
408,-0.501918,-0.0005598353,-3.665965377716918e-06,3.665965377716918e-06,0.6915254237288135
409,-0.502954,-0.0005925806,-3.880391184883694e-06,3.880391184883694e-06,0.6932203389830508
