,potential_V,current_mA,j_mA/mm2,abs_j_mA/mm2,progress
371,-0.4641316,0.00031325659999999997,2.0512958899542732e-06,2.0512958899542732e-06,0.467843631778058
372,-0.46426179999999995,0.0003112408,2.038095841639346e-06,2.038095841639346e-06,0.4691046658259773
373,-0.4643372,0.0003097862,2.0285706951571094e-06,2.0285706951571094e-06,0.4703656998738966
374,-0.46443149999999994,0.0003088357,2.022346542997501e-06,2.022346542997501e-06,0.47162673392181587
375,-0.46450290000000005,0.000307525,2.0137636958269606e-06,2.0137636958269606e-06,0.4728877679697352
376,-0.464599,0.0003046331,1.994826688325255e-06,1.994826688325255e-06,0.47414880201765447
377,-0.46468400000000004,0.0003036745,1.988549494995218e-06,1.988549494995218e-06,0.47540983606557374
378,-0.46476720000000005,0.0003027915,1.982767352589185e-06,1.982767352589185e-06,0.4766708701134931
379,-0.4648482,0.0003012448,1.972639108354292e-06,1.972639108354292e-06,0.47793190416141235
380,-0.4649549,0.0002988248,1.956792240152028e-06,1.956792240152028e-06,0.4791929382093317
381,-0.46501499999999996,0.0002985749,1.9551558218199013e-06,1.9551558218199013e-06,0.48045397225725095
382,-0.4651326,0.0003065385,2.007303805132112e-06,2.007303805132112e-06,0.4817150063051702
383,-0.46519579999999994,0.000298037,1.951633495205853e-06,1.951633495205853e-06,0.48297604035308955
384,-0.4652647,0.00029537490000000003,1.934201285354098e-06,1.934201285354098e-06,0.4842370744010088
385,-0.4653637,0.00029121830000000004,1.9069826521435482e-06,1.9069826521435482e-06,0.4854981084489281
386,-0.4654677,0.0002918377,1.91103866460821e-06,1.91103866460821e-06,0.48675914249684743
387,-0.4655808,0.0002881871,1.8871334674763155e-06,1.8871334674763155e-06,0.4880201765447667
388,-0.46563640000000006,0.0002849263,1.8657807948176616e-06,1.8657807948176616e-06,0.489281210592686
389,-0.46570829999999996,0.0002809616,1.8398187789657955e-06,1.8398187789657955e-06,0.4905422446406053
390,-0.4657937,0.0002832611,1.854876577904269e-06,1.854876577904269e-06,0.4918032786885246
391,-0.46591270000000007,0.0002801217,1.8343188679727863e-06,1.8343188679727863e-06,0.4930643127364439
392,-0.46600600000000003,0.0002790616,1.8273770229392242e-06,1.8273770229392242e-06,0.4943253467843632
393,-0.46608409999999995,0.0002788634,1.8260791513368735e-06,1.8260791513368735e-06,0.49558638083228246
394,-0.46617529999999996,0.0002782609,1.8221338050179215e-06,1.8221338050179215e-06,0.4968474148802018
395,-0.46624560000000004,0.0002771238,1.814687741450651e-06,1.814687741450651e-06,0.49810844892812106
396,-0.46631990000000006,0.0002749379,1.8003738285567133e-06,1.8003738285567133e-06,0.49936948297604034
397,-0.46642749999999994,0.00027339279999999996,1.7902560615900529e-06,1.7902560615900529e-06,0.5006305170239597
398,-0.4665268,0.0002717744,1.779658304772473e-06,1.779658304772473e-06,0.501891551071879
399,-0.4666245,0.0002700566,1.7684096476659238e-06,1.7684096476659238e-06,0.5031525851197982
400,-0.46667970000000003,0.0002684125,1.7576435997273525e-06,1.7576435997273525e-06,0.5044136191677175
401,-0.46676590000000007,0.0002666714,1.7462423674021615e-06,1.7462423674021615e-06,0.5056746532156369
402,-0.4668738,0.0002651792,1.7364710051164515e-06,1.7364710051164515e-06,0.5069356872635561
403,-0.46694040000000003,0.0002637801,1.7273092888760436e-06,1.7273092888760436e-06,0.5081967213114754
404,-0.4670277,0.000262546,1.7192280409221534e-06,1.7192280409221534e-06,0.5094577553593947
405,-0.4671147,0.0002617742,1.7141740686583074e-06,1.7141740686583074e-06,0.510718789407314
406,-0.4672343,0.0002605791,1.7063482041175945e-06,1.7063482041175945e-06,0.5119798234552333
407,-0.4673057,0.0002594767,1.6991293663051247e-06,1.6991293663051247e-06,0.5132408575031526
408,-0.4673773,0.00025851849999999996,1.6928547922921455e-06,1.6928547922921455e-06,0.5145018915510718
409,-0.4674858,0.0002573547,1.685233889311239e-06,1.685233889311239e-06,0.5157629255989912
410,-0.4675808,0.0002559727,1.67618414887507e-06,1.67618414887507e-06,0.5170239596469105
411,-0.46766320000000006,0.00025447560000000003,1.6663806999553966e-06,1.6663806999553966e-06,0.5182849936948297
412,-0.4677675,0.0002533598,1.6590741150214765e-06,1.6590741150214765e-06,0.519546027742749
413,-0.46782700000000005,0.00025218290000000003,1.651367429406913e-06,1.651367429406913e-06,0.5208070617906684
414,-0.4679182,0.000250679,1.6415194520972497e-06,1.6415194520972497e-06,0.5220680958385876
415,-0.4680427,0.0002486548,1.6282643981240996e-06,1.6282643981240996e-06,0.5233291298865069
416,-0.4681415,0.0002479289,1.623510992492685e-06,1.623510992492685e-06,0.5245901639344263
417,-0.46819609999999995,0.0002447209,1.602504069685717e-06,1.602504069685717e-06,0.5258511979823455
418,-0.46829740000000003,0.0002424071,1.5873526301624115e-06,1.5873526301624115e-06,0.5271122320302648
419,-0.46839840000000005,0.0002407822,1.5767123094426352e-06,1.5767123094426352e-06,0.5283732660781841
420,-0.4684894,0.00023974779999999998,1.5699387555300642e-06,1.5699387555300642e-06,0.5296343001261034
421,-0.46858420000000006,0.0002385728,1.562244511671527e-06,1.562244511671527e-06,0.5308953341740227
422,-0.4686392,0.0002374603,1.5549595361033373e-06,1.5549595361033373e-06,0.532156368221942
423,-0.4687227,0.0002355096,1.5421857816396363e-06,1.5421857816396363e-06,0.5334174022698613
424,-0.4688082,0.0002339208,1.531781854284365e-06,1.531781854284365e-06,0.5346784363177806
425,-0.46893199999999996,0.00023306799999999999,1.5261974703162281e-06,1.5261974703162281e-06,0.5359394703656999
426,-0.4689964,0.0002320521,1.5195450598176e-06,1.5195450598176e-06,0.5372005044136192
427,-0.46909399999999996,0.0002313918,1.5152212221837344e-06,1.5152212221837344e-06,0.5384615384615384
428,-0.46920850000000003,0.000230334,1.5082944382232573e-06,1.5082944382232573e-06,0.5397225725094578
429,-0.46927409999999997,0.00022836580000000002,1.495406088638259e-06,1.495406088638259e-06,0.5409836065573771
430,-0.4693906,0.0002269031,1.485827900985593e-06,1.485827900985593e-06,0.5422446406052963
431,-0.4694497,0.00022553,1.4768364403539694e-06,1.4768364403539694e-06,0.5435056746532156
432,-0.4695602,0.0002237489,1.4651732763229559e-06,1.4651732763229559e-06,0.544766708701135
433,-0.4696228,0.00022268060000000002,1.4581777352897004e-06,1.4581777352897004e-06,0.5460277427490542
434,-0.46975150000000004,0.00022241509999999998,1.456439163592303e-06,1.456439163592303e-06,0.5472887767969735
435,-0.4698523,0.000220917,1.4466291663799842e-06,1.4466291663799842e-06,0.5485498108448928
436,-0.46993509999999994,0.00021861599999999998,1.4315615450025423e-06,1.4315615450025423e-06,0.5498108448928121
437,-0.4699876,0.0002168966,1.42030241062776e-06,1.42030241062776e-06,0.5510718789407314
438,-0.4700829000000001,0.0002155484,1.4114740024830113e-06,1.4114740024830113e-06,0.5523329129886507
439,-0.470174,0.0002147608,1.4063165671953654e-06,1.4063165671953654e-06,0.5535939470365699
440,-0.470268,0.0002141355,1.4022219198040944e-06,1.4022219198040944e-06,0.5548549810844893
441,-0.4703504,0.0002135905,1.3986531003122623e-06,1.3986531003122623e-06,0.5561160151324086
442,-0.4704424,0.0002128331,1.3936934234625125e-06,1.3936934234625125e-06,0.5573770491803278
443,-0.47056040000000005,0.0002122428,1.3898279663138361e-06,1.3898279663138361e-06,0.5586380832282472
444,-0.4706327,0.0002115033,1.384985503902442e-06,1.384985503902442e-06,0.5598991172761665
445,-0.4707272,0.00021047889999999998,1.3782774329163263e-06,1.3782774329163263e-06,0.5611601513240857
446,-0.47082570000000007,0.00020934810000000002,1.3708726235927231e-06,1.3708726235927231e-06,0.562421185372005
447,-0.47089259999999994,0.0002083875,1.3645823336773945e-06,1.3645823336773945e-06,0.5636822194199244
448,-0.4709798,0.00020691860000000001,1.3549635466103263e-06,1.3549635466103263e-06,0.5649432534678436
449,-0.4710798,0.00020528830000000002,1.344287865110264e-06,1.344287865110264e-06,0.5662042875157629
450,-0.47117939999999997,0.0002037472,1.3341962913141858e-06,1.3341962913141858e-06,0.5674653215636822
451,-0.4713032999999999,0.0002019467,1.3224060904058481e-06,1.3224060904058481e-06,0.5687263556116016
452,-0.47137340000000005,0.000200755,1.31460249006013e-06,1.31460249006013e-06,0.5699873896595208
453,-0.4714741,0.00019896919999999997,1.3029085490536822e-06,1.3029085490536822e-06,0.5712484237074401
454,-0.471571,0.000197028,1.2901970033701144e-06,1.2901970033701144e-06,0.5725094577553594
455,-0.4716201,0.0001953195,1.2790092453851689e-06,1.2790092453851689e-06,0.5737704918032787
456,-0.47170550000000006,0.0001937411,1.2686734202734112e-06,1.2686734202734112e-06,0.575031525851198
457,-0.4718052,0.0001919039,1.2566428970249816e-06,1.2566428970249816e-06,0.5762925598991173
458,-0.47188420000000003,0.0001904847,1.2473495601023977e-06,1.2473495601023977e-06,0.5775535939470365
459,-0.4720063,0.0001845449,1.2084540114462789e-06,1.2084540114462789e-06,0.5788146279949559
460,-0.47208100000000003,0.0001838377,1.2038230588873363e-06,1.2038230588873363e-06,0.5800756620428752
461,-0.47218000000000004,0.00018357509999999998,1.202103477238611e-06,1.202103477238611e-06,0.5813366960907944
462,-0.4722797,0.0001829246,1.1978438128726719e-06,1.1978438128726719e-06,0.5825977301387137
463,-0.4723685,0.00018183189999999998,1.1906884934988645e-06,1.1906884934988645e-06,0.5838587641866331
464,-0.4724139,0.0001801499,1.1796742652690266e-06,1.1796742652690266e-06,0.5851197982345523
465,-0.4725195,0.00017897020000000002,1.1719492444350553e-06,1.1719492444350553e-06,0.5863808322824716
466,-0.47261709999999996,0.0001777668,1.1640690290653837e-06,1.1640690290653837e-06,0.587641866330391
467,-0.47272520000000007,0.0001766157,1.1565312894010756e-06,1.1565312894010756e-06,0.5889029003783102
468,-0.47279329999999997,0.0001752748,1.1477506837926392e-06,1.1477506837926392e-06,0.5901639344262295
469,-0.4728848,0.0001737532,1.1377868017031496e-06,1.1377868017031496e-06,0.5914249684741488
470,-0.47299140000000006,0.0001723726,1.1287462288766843e-06,1.1287462288766843e-06,0.592686002522068
471,-0.47305810000000004,0.0001709005,1.11910648727315e-06,1.11910648727315e-06,0.5939470365699874
472,-0.47318119999999997,0.0001690599,1.1070536998297258e-06,1.1070536998297258e-06,0.5952080706179067
473,-0.47324659999999996,0.000167362,1.0959353537468232e-06,1.0959353537468232e-06,0.5964691046658259
474,-0.4733443,0.0001648375,1.0794041889630976e-06,1.0794041889630976e-06,0.5977301387137453
475,-0.47345360000000003,0.0001632429,1.068962281510482e-06,1.068962281510482e-06,0.5989911727616646
476,-0.473497,0.0001620395,1.0610820661408106e-06,1.0610820661408106e-06,0.6002522068095839
477,-0.473596,0.0001609389,1.0538750152551033e-06,1.0538750152551033e-06,0.6015132408575031
478,-0.473684,0.00016011739999999999,1.0484955928467726e-06,1.0484955928467726e-06,0.6027742749054225
479,-0.47378290000000006,0.0001588451,1.0401642001138221e-06,1.0401642001138221e-06,0.6040353089533418
480,-0.4739107,0.0001576758,1.0325072815233646e-06,1.0325072815233646e-06,0.605296343001261
481,-0.47399250000000004,0.0001566493,1.0257854591226934e-06,1.0257854591226934e-06,0.6065573770491803
482,-0.4740866,0.0001553997,1.017602712632797e-06,1.017602712632797e-06,0.6078184110970997
483,-0.47418119999999997,0.0001539387,1.0080356570776287e-06,1.0080356570776287e-06,0.6090794451450189
484,-0.4742755,0.0001521441,9.962840910959001e-07,9.962840910959001e-07,0.6103404791929382
485,-0.4743442,0.0001508564,9.878518546562078e-07,9.878518546562078e-07,0.6116015132408575
486,-0.4744156,0.000149525,9.791334578279044e-07,9.791334578279044e-07,0.6128625472887768
487,-0.47452,0.0001485297,9.72615942157775e-07,9.72615942157775e-07,0.6141235813366961
488,-0.4746401,0.0001474441,9.65507115661751e-07,9.65507115661751e-07,0.6153846153846154
489,-0.4746951,0.0001465867,9.598926095474447e-07,9.598926095474447e-07,0.6166456494325346
490,-0.4747582,0.0001457449,9.54380256798409e-07,9.54380256798409e-07,0.617906683480454
491,-0.4749022,0.0001445192,9.463540145027419e-07,9.463540145027419e-07,0.6191677175283733
492,-0.4749824,0.000142807,9.351420278350079e-07,9.351420278350079e-07,0.6204287515762925
493,-0.47504430000000003,0.00014094799999999998,9.229687518069048e-07,9.229687518069048e-07,0.6216897856242118
494,-0.47517429999999994,0.000139258,9.119021372359023e-07,9.119021372359023e-07,0.6229508196721312
495,-0.4752663,0.0001378483,9.026710090934514e-07,9.026710090934514e-07,0.6242118537200504
496,-0.47532409999999997,0.0001368912,8.964036382023824e-07,8.964036382023824e-07,0.6254728877679697
497,-0.4754133,0.0001360731,8.910464799890467e-07,8.910464799890467e-07,0.626733921815889
498,-0.4755420999999999,0.0001352399,8.855904425567631e-07,8.855904425567631e-07,0.6279949558638083
499,-0.4756124,0.0001342026,8.787978985955199e-07,8.787978985955199e-07,0.6292559899117276
500,-0.4756896,0.0001327587,8.693428188445907e-07,8.693428188445907e-07,0.6305170239596469
501,-0.4757566,0.0001317208,8.625463459077601e-07,8.625463459077601e-07,0.6317780580075663
502,-0.4758743,0.0001305231,8.547034558061685e-07,8.547034558061685e-07,0.6330390920554855
503,-0.47594,0.0001297955,8.499389180772563e-07,8.499389180772563e-07,0.6343001261034048
504,-0.4760571,0.0001281536,8.391872763825055e-07,8.391872763825055e-07,0.6355611601513241
505,-0.4761451,0.0001271252,8.324530122258077e-07,8.324530122258077e-07,0.6368221941992434
506,-0.4762431,0.00012629659999999999,8.270270969396937e-07,8.270270969396937e-07,0.6380832282471627
507,-0.4763379,0.0001254722,8.21628684482691e-07,8.21628684482691e-07,0.639344262295082
508,-0.4764245,0.0001245774,8.157692722234408e-07,8.157692722234408e-07,0.6406052963430012
509,-0.47650509999999996,0.0001231638,8.06512605739672e-07,8.06512605739672e-07,0.6418663303909206
510,-0.4766054,0.00012121799999999999,7.937709379099342e-07,7.937709379099342e-07,0.6431273644388399
511,-0.4766537,0.00011921959999999999,7.806848298870397e-07,7.806848298870397e-07,0.6443883984867591
512,-0.476742,0.0001172024,7.674756139624088e-07,7.674756139624088e-07,0.6456494325346784
513,-0.4768697,0.0001152101,7.544294505246523e-07,7.544294505246523e-07,0.6469104665825978
514,-0.4769411,0.0001126233,7.374903271091083e-07,7.374903271091083e-07,0.648171500630517
515,-0.4770537,0.00011162530000000001,7.309551310488358e-07,7.309551310488358e-07,0.6494325346784363
516,-0.47713890000000003,0.00011115059999999999,7.278466565299867e-07,7.278466565299867e-07,0.6506935687263556
517,-0.47720609999999997,0.0001101001,7.209676751058222e-07,7.209676751058222e-07,0.6519546027742749
518,-0.4772936,0.000109254,7.154271646984107e-07,7.154271646984107e-07,0.6532156368221942
519,-0.4773715,0.00010898409999999999,7.136597805133731e-07,7.136597805133731e-07,0.6544766708701135
520,-0.4774622,0.00010826370000000001,7.089423904915091e-07,7.089423904915091e-07,0.6557377049180327
521,-0.4775653,0.0001079584,7.069431967468185e-07,7.069431967468185e-07,0.6569987389659521
522,-0.4776589,0.0001076634,7.050114504163772e-07,7.050114504163772e-07,0.6582597730138714
523,-0.47777879999999995,0.00010683760000000001,6.996038703496708e-07,6.996038703496708e-07,0.6595208070617906
524,-0.4778628,0.0001057626,6.925644557556898e-07,6.925644557556898e-07,0.6607818411097099
525,-0.4779253,0.00010475270000000001,6.859513350129352e-07,6.859513350129352e-07,0.6620428751576293
526,-0.47799780000000003,0.0001033918,6.770397635515875e-07,6.770397635515875e-07,0.6633039092055486
527,-0.4781295,0.0001016377,6.655534034220043e-07,6.655534034220043e-07,0.6645649432534678
528,-0.4781936,0.0001000726,6.553046706024327e-07,6.553046706024327e-07,0.6658259773013872
529,-0.4782883,9.815999e-05,6.427803406056012e-07,6.427803406056012e-07,0.6670870113493065
530,-0.47838270000000005,9.573767e-05,6.269182803643994e-07,6.269182803643994e-07,0.6683480453972257
531,-0.4784781,9.420565999999999e-05,6.168862305484694e-07,6.168862305484694e-07,0.669609079445145
532,-0.47855529999999996,9.301459e-05,6.09086755627118e-07,6.09086755627118e-07,0.6708701134930644
533,-0.4786789000000001,9.159741e-05,5.998066462556781e-07,5.998066462556781e-07,0.6721311475409836
534,-0.4787687,9.075329e-05,5.942791014677049e-07,5.942791014677049e-07,0.6733921815889029
535,-0.4788135,8.98823e-05,5.885756040563455e-07,5.885756040563455e-07,0.6746532156368222
536,-0.47894259999999994,8.947013e-05,5.858765942766235e-07,5.858765942766235e-07,0.6759142496847415
537,-0.4789912,8.885790000000002e-05,5.818675330702301e-07,5.818675330702301e-07,0.6771752837326608
538,-0.47908779999999995,8.753562e-05,5.732088566708541e-07,5.732088566708541e-07,0.6784363177805801
539,-0.47918190000000005,8.501645e-05,5.567125942869296e-07,5.567125942869296e-07,0.6796973518284993
540,-0.4792799,8.363138000000001e-05,5.476427505923388e-07,5.476427505923388e-07,0.6809583858764187
541,-0.47938050000000004,8.209541e-05,5.375847695375323e-07,5.375847695375323e-07,0.682219419924338
542,-0.47946629999999996,8.012021e-05,5.24650581904015e-07,5.24650581904015e-07,0.6834804539722572
543,-0.4795656,7.845051999999999e-05,5.137169631566438e-07,5.137169631566438e-07,0.6847414880201765
544,-0.47964070000000003,7.68424e-05,5.0318652278746e-07,5.0318652278746e-07,0.6860025220680959
545,-0.4797264,7.462523e-05,4.886678447824957e-07,4.886678447824957e-07,0.6872635561160151
546,-0.4797936,7.310595e-05,4.787191547319437e-07,4.787191547319437e-07,0.6885245901639344
547,-0.4799001,7.143967e-05,4.6780786566249394e-07,4.6780786566249394e-07,0.6897856242118537
548,-0.4799911,6.974986e-05,4.5674249526709405e-07,4.5674249526709405e-07,0.691046658259773
549,-0.4800655,6.86984e-05,4.498572274819897e-07,4.498572274819897e-07,0.6923076923076923
550,-0.48016670000000006,6.831686e-05,4.473587919060013e-07,4.473587919060013e-07,0.6935687263556116
551,-0.480274,6.784016e-05,4.4423722080186114e-07,4.4423722080186114e-07,0.694829760403531
