,potential_V,current_A,j_A/mm2,abs_j_mA/mm2,progress,renorm_potential_V
0,-1.0960164000000001,-0.1626692,-0.0011540961123356938,0.0011540961123356938,1.0,-1.0960164000000001
1,-1.0951514,-0.1620178,-0.0011494745969684607,0.0011494745969684607,0.998706338939198,-1.0951514
2,-1.0943394,-0.1615942,-0.0011464692639786545,0.0011464692639786545,0.9974126778783959,-1.0943394
3,-1.0935084000000002,-0.16113829999999998,-0.001143234770801004,0.001143234770801004,0.9961190168175938,-1.0935084000000002
4,-1.0926754,-0.16080870000000003,-0.0011408963436210229,0.0011408963436210229,0.9948253557567918,-1.0926754
5,-1.0918594000000001,-0.1608629,-0.0011412808786730707,0.0011412808786730707,0.9935316946959898,-1.0918594000000001
6,-1.0910154,-0.1604745,-0.0011385252806248155,0.0011385252806248155,0.9922380336351877,-1.0910154
7,-1.0902124,-0.1598152,-0.0011338477167905868,0.0011338477167905868,0.9909443725743856,-1.0902124
8,-1.0894024,-0.1593361,-0.0011304486255832777,0.0011304486255832777,0.9896507115135835,-1.0894024
9,-1.0885484,-0.15890439999999997,-0.0011273858251779436,0.0011273858251779436,0.9883570504527814,-1.0885484
10,-1.0877474,-0.1585691,-0.0011250069579648134,0.0011250069579648134,0.9870633893919794,-1.0877474
11,-1.0868814,-0.1588836,-0.0011272382545306637,0.0011272382545306637,0.9857697283311773,-1.0868814
12,-1.0860264000000002,-0.1585611,-0.0011249502000235518,0.0011249502000235518,0.9844760672703753,-1.0860264000000002
13,-1.0851964,-0.1579559,-0.0011206564617671053,0.0011206564617671053,0.9831824062095732,-1.0851964
14,-1.0843284,-0.15753150000000002,-0.001117645452983173,0.001117645452983173,0.9818887451487711,-1.0843284
15,-1.0834684,-0.1570663,-0.0011143449786988056,0.0011143449786988056,0.980595084087969,-1.0834684
16,-1.0826114,-0.15664589999999998,-0.0011113623488855039,0.0011113623488855039,0.9793014230271669,-1.0826114
17,-1.0817484,-0.1561223,-0.0011076475416299265,0.0011076475416299265,0.9780077619663649,-1.0817484
18,-1.0809184,-0.155668,-0.0011044244000405286,0.0011044244000405286,0.9767141009055629,-1.0809184
19,-1.0800724,-0.1551079,-0.0011004506346779447,0.0011004506346779447,0.9754204398447608,-1.0800724
20,-1.0792414000000001,-0.154946,-0.0010993019958416613,0.0010993019958416613,0.9741267787839587,-1.0792414000000001
21,-1.0784034,-0.1543475,-0.0010950557923610214,0.0010950557923610214,0.9728331177231566,-1.0784034
22,-1.0775514000000002,-0.1538451,-0.0010914913936497877,0.0010914913936497877,0.9715394566623545,-1.0775514000000002
23,-1.0767174000000002,-0.1534421,-0.00108863221235873,0.00108863221235873,0.9702457956015524,-1.0767174000000002
24,-1.0758424,-0.153082,-0.0010860773955276885,0.0010860773955276885,0.9689521345407504,-1.0758424
25,-1.0750024,-0.15287779999999998,-0.0010846286490769838,0.0010846286490769838,0.9676584734799484,-1.0750024
26,-1.0741514,-0.1522645,-0.0010802774434050097,0.0010802774434050097,0.9663648124191463,-1.0741514
27,-1.0733074,-0.1518771,-0.0010775289400994125,0.0010775289400994125,0.9650711513583442,-1.0733074
28,-1.0724604000000002,-0.151917,-0.0010778120203314553,0.0010778120203314553,0.9637774902975421,-1.0724604000000002
29,-1.0716184000000002,-0.1515445,-0.001075169228691458,0.001075169228691458,0.96248382923674,-1.0716184000000002
30,-1.0707453999999998,-0.1511799,-0.0010725824855184567,0.0010725824855184567,0.9611901681759379,-1.0707453999999998
31,-1.0699374,-0.15068689999999998,-0.0010690847773882051,0.0010690847773882051,0.959896507115136,-1.0699374
32,-1.0691474,-0.1509213,-0.0010707477850671727,0.0010707477850671727,0.9586028460543339,-1.0691474
33,-1.0683434,-0.1507467,-0.0010695090429991363,0.0010695090429991363,0.9573091849935318,-1.0683434
34,-1.0675154,-0.150326,-0.0010665242847630373,0.0010665242847630373,0.9560155239327297,-1.0675154
35,-1.0666963999999999,-0.1499175,-0.0010636260823873626,0.0010636260823873626,0.9547218628719276,-1.0666963999999999
36,-1.0658344000000002,-0.1494032,-0.001059977256238502,0.001059977256238502,0.9534282018111255,-1.0658344000000002
37,-1.0650114,-0.1489799,-0.0010569740516714928,0.0010569740516714928,0.9521345407503234,-1.0650114
38,-1.0641844,-0.14840799999999998,-0.0010529165683455478,0.0010529165683455478,0.9508408796895215,-1.0641844
39,-1.0633523999999999,-0.1478589,-0.001049020845152199,0.001049020845152199,0.9495472186287194,-1.0633523999999999
40,-1.0625373999999999,-0.14756370000000002,-0.001046926477119643,0.001046926477119643,0.9482535575679173,-1.0625373999999999
41,-1.0617024,-0.1471759,-0.0010441751359169826,0.0010441751359169826,0.9469598965071152,-1.0617024
42,-1.0608484,-0.14686470000000001,-0.001041967252001903,0.001041967252001903,0.9456662354463131,-1.0608484
43,-1.0600154,-0.1470531,-0.0010433039015186156,0.0010433039015186156,0.944372574385511,-1.0600154
44,-1.0591523999999999,-0.1465631,-0.0010398274776163372,0.0010398274776163372,0.9430789133247091,-1.0591523999999999
45,-1.0583104,-0.1460288,-0.0010360367566143224,0.0010360367566143224,0.941785252263907,-1.0583104
46,-1.0574634,-0.1455348,-0.0010325319537414133,0.0010325319537414133,0.9404915912031049,-1.0574634
47,-1.0566304,-0.14512,-0.0010295890544869948,0.0010295890544869948,0.9391979301423028,-1.0566304
48,-1.0557594000000001,-0.1447076,-0.0010266631826149548,0.0010266631826149548,0.9379042690815007,-1.0557594000000001
49,-1.0549144,-0.1443253,-0.001023950862496912,0.001023950862496912,0.9366106080206986,-1.0549144
50,-1.0540764,-0.1439885,-0.0010215613531697949,0.0010215613531697949,0.9353169469598965,-1.0540764
51,-1.0532424,-0.14420750000000002,-0.0010231151018118337,0.0010231151018118337,0.9340232858990946,-1.0532424
52,-1.0523954,-0.14376879999999997,-0.0010200026382078957,0.0010200026382078957,0.9327296248382925,-1.0523954
53,-1.0515193999999999,-0.1430683,-0.0010150327709761695,0.0010150327709761695,0.9314359637774904,-1.0515193999999999
54,-1.0506374,-0.1426781,-0.0010122644023911307,0.0010122644023911307,0.9301423027166883,-1.0506374
55,-1.0498414,-0.14213910000000002,-0.0010084403360986248,0.0010084403360986248,0.9288486416558862,-1.0498414
56,-1.0490203999999999,-0.1417659,-0.001005792578138767,0.001005792578138767,0.9275549805950841,-1.0490203999999999
57,-1.0481854000000002,-0.141438,-0.0010034662120213037,0.0010034662120213037,0.9262613195342821,-1.0481854000000002
58,-1.0473764,-0.1411149,-0.0010011739006685972,0.0010011739006685972,0.9249676584734801,-1.0473764
